episode,avg_throughput,avg_tx_power,mcs_usage_16qam,mcs_usage_64qam,mcs_usage_qpsk,per
1,2.2,0.5262669548392296,0.4,0.1,0.5,0.19999999999999996
2,2.0,0.46661640107631686,0.5,0.3,0.2,0.4
3,1.8,0.5840048171579838,0.3,0.3,0.4,0.35
4,2.3,0.5054096072912216,0.5,0.2,0.3,0.30000000000000004
5,2.4,0.5786751106381416,0.35,0.15,0.5,0.15000000000000002
6,2.9,0.5790599197149277,0.45,0.15,0.4,0.09999999999999998
7,2.6,0.6150487720966339,0.4,0.25,0.35,0.19999999999999996
8,1.9,0.5349940866231918,0.3,0.35,0.35,0.35
9,2.7,0.5144319221377373,0.45,0.1,0.45,0.09999999999999998
10,2.2,0.6018432140350342,0.4,0.25,0.35,0.30000000000000004
11,2.0,0.4843128457665443,0.35,0.2,0.45,0.30000000000000004
12,2.7,0.4628493070602417,0.5,0.25,0.25,0.25
13,2.9,0.6055242523550988,0.35,0.35,0.3,0.19999999999999996
14,2.5,0.46861676052212714,0.5,0.25,0.25,0.25
15,2.3,0.5077288985252381,0.4,0.15,0.45,0.19999999999999996
16,2.8,0.5553951770067215,0.5,0.25,0.25,0.25
17,3.2,0.6331722572445869,0.6,0.15,0.25,0.09999999999999998
18,2.1,0.5475009098649025,0.4,0.15,0.45,0.25
19,3.3,0.624554431438446,0.65,0.05,0.3,0.050000000000000044
20,2.9,0.6807128772139549,0.6,0.3,0.1,0.25
21,2.9,0.5752566665410995,0.5,0.2,0.3,0.15000000000000002
22,3.3,0.5807153761386872,0.7,0.05,0.25,0.050000000000000044
23,2.9,0.4730831623077393,0.55,0.15,0.3,0.15000000000000002
24,3.0,0.5389253437519074,0.6,0.1,0.3,0.09999999999999998
25,2.7,0.5818753778934479,0.35,0.3,0.35,0.19999999999999996
26,3.1,0.5325358167290688,0.55,0.15,0.3,0.09999999999999998
27,3.1,0.5462398886680603,0.7,0.05,0.25,0.09999999999999998
28,2.9,0.5562675058841705,0.55,0.1,0.35,0.09999999999999998
29,3.2,0.7096472427248954,0.5,0.05,0.45,0.0
30,2.6,0.5702797666192054,0.65,0.05,0.3,0.19999999999999996
31,2.7,0.6513166412711143,0.45,0.1,0.45,0.09999999999999998
32,2.6,0.5672312423586845,0.45,0.15,0.4,0.15000000000000002
33,2.0,0.6370398238301277,0.15,0.15,0.7,0.15000000000000002
34,3.3,0.7163491740822792,0.7,0.05,0.25,0.050000000000000044
35,2.7,0.6400829434394837,0.4,0.1,0.5,0.09999999999999998
36,3.1,0.6418165981769561,0.45,0.05,0.5,0.0
37,3.1,0.6368009492754936,0.45,0.05,0.5,0.0
38,3.4,0.6469068437814712,0.7,0.0,0.3,0.0
39,3.0,0.7245809376239777,0.55,0.05,0.4,0.050000000000000044
40,3.3,0.7920297995209694,0.55,0.05,0.4,0.0
41,2.7,0.7627871930599213,0.4,0.05,0.55,0.050000000000000044
42,3.7,0.6577722862362861,0.65,0.1,0.25,0.0
43,3.3,0.7640705704689026,0.65,0.0,0.35,0.0
44,2.7,0.747243694961071,0.35,0.0,0.65,0.0
45,3.0,0.7737900167703629,0.5,0.0,0.5,0.0
46,3.6,0.807345187664032,0.7,0.05,0.25,0.0
47,2.6,0.7667086854577064,0.4,0.0,0.6,0.050000000000000044
48,3.2,0.7589123323559761,0.6,0.0,0.4,0.0
49,3.4,0.8255912125110626,0.7,0.0,0.3,0.0
50,2.9,0.8870460778474808,0.35,0.05,0.6,0.0
51,2.9,0.8132996827363967,0.5,0.05,0.45,0.050000000000000044
52,3.0,0.7701791390776634,0.5,0.0,0.5,0.0
53,3.1,0.7597942084074021,0.65,0.0,0.35,0.050000000000000044
54,3.0,0.8083914056420326,0.5,0.0,0.5,0.0
55,2.8,0.8072241455316543,0.5,0.0,0.5,0.050000000000000044
56,3.0,0.8216747298836709,0.5,0.0,0.5,0.0
57,2.8,0.8153374031186104,0.4,0.0,0.6,0.0
58,2.9,0.7547120615839958,0.5,0.05,0.45,0.050000000000000044
59,3.2,0.7388438373804093,0.6,0.0,0.4,0.0
60,3.3,0.7664333358407021,0.75,0.0,0.25,0.050000000000000044
61,3.2,0.8137574642896652,0.6,0.0,0.4,0.0
62,3.2,0.9062215626239777,0.6,0.0,0.4,0.0
63,3.1,0.8233506098389626,0.6,0.05,0.35,0.050000000000000044
64,3.2,0.7698783233761788,0.5,0.05,0.45,0.0
65,3.2,0.7290029674768448,0.5,0.05,0.45,0.0
66,3.4,0.7434935331344604,0.7,0.0,0.3,0.0
67,3.5,0.7703597962856292,0.75,0.0,0.25,0.0
68,3.3,0.8747426569461823,0.65,0.0,0.35,0.0
69,3.3,0.74428139179945,0.75,0.0,0.25,0.050000000000000044
70,3.1,0.8185608685016632,0.55,0.0,0.45,0.0
71,3.1,0.8191083282232284,0.45,0.05,0.5,0.0
72,3.3,0.713773076236248,0.65,0.0,0.35,0.0
73,3.4,0.7958932131528854,0.7,0.0,0.3,0.0
74,3.4,0.830746304988861,0.7,0.0,0.3,0.0
75,3.6,0.8860316157341004,0.8,0.0,0.2,0.0
76,3.6,0.8138898104429245,0.7,0.05,0.25,0.0
77,3.4,0.7392237588763237,0.6,0.05,0.35,0.0
78,3.5,0.7738836780190468,0.75,0.0,0.25,0.0
79,3.7,0.844332554936409,0.85,0.0,0.15,0.0
80,3.7,0.8108300641179085,0.85,0.0,0.15,0.0
81,3.4,0.809537997841835,0.7,0.0,0.3,0.0
82,3.5,0.722938534617424,0.85,0.0,0.15,0.050000000000000044
83,3.5,0.7674814015626907,0.75,0.0,0.25,0.0
84,3.8,0.817683382332325,0.9,0.0,0.1,0.0
85,3.4,0.7080178365111351,0.8,0.0,0.2,0.09999999999999998
86,3.7,0.8268395826220513,0.9,0.05,0.05,0.050000000000000044
87,3.8,0.7777077823877334,0.8,0.05,0.15,0.0
88,3.8,0.7963753432035446,0.9,0.0,0.1,0.0
89,3.9,0.854405301809311,0.95,0.0,0.05,0.0
90,3.8,0.8633708626031875,0.9,0.0,0.1,0.0
91,3.9,0.8127463936805726,0.95,0.0,0.05,0.0
92,3.9,0.8332449942827225,0.95,0.0,0.05,0.0
93,3.9,0.8313707128167153,0.95,0.0,0.05,0.0
94,3.8,0.6839614585042,0.9,0.0,0.1,0.0
95,3.9,0.797502064704895,0.95,0.0,0.05,0.0
96,4.0,0.8510789453983307,1.0,0.0,0.0,0.0
97,3.9,0.7937545076012611,0.95,0.0,0.05,0.0
98,3.6,0.8579087123274803,0.8,0.0,0.2,0.0
99,4.1,0.8844281256198883,0.95,0.05,0.0,0.0
100,3.6,0.822795158624649,0.9,0.0,0.1,0.050000000000000044
101,4.0,0.7972260534763336,1.0,0.0,0.0,0.0
102,3.8,0.6590807557106018,0.9,0.0,0.1,0.0
103,3.7,0.8331838741898536,0.85,0.0,0.15,0.0
104,3.8,0.802510817348957,1.0,0.0,0.0,0.050000000000000044
105,3.9,0.7847653806209565,0.95,0.0,0.05,0.0
106,4.0,0.8234089612960815,1.0,0.0,0.0,0.0
107,3.8,0.7751569211483001,1.0,0.0,0.0,0.050000000000000044
108,3.9,0.7552410289645195,0.95,0.0,0.05,0.0
109,3.5,0.7276853621006012,0.95,0.0,0.05,0.09999999999999998
110,3.8,0.8543631821870804,0.9,0.0,0.1,0.0
111,3.8,0.8930164098739624,0.9,0.0,0.1,0.0
112,4.0,0.8759000957012176,1.0,0.0,0.0,0.0
113,3.8,0.8671356663107872,0.9,0.0,0.1,0.0
114,3.8,0.8025424912571907,0.9,0.0,0.1,0.0
115,4.0,0.8527896299958229,1.0,0.0,0.0,0.0
116,4.0,0.8682338744401932,1.0,0.0,0.0,0.0
117,3.9,0.8994506955146789,0.95,0.0,0.05,0.0
118,3.8,0.8067394345998764,0.9,0.0,0.1,0.0
119,3.7,0.8567290171980858,0.85,0.0,0.15,0.0
120,3.8,0.8305900305509567,0.9,0.0,0.1,0.0
121,4.0,0.8233264863491059,1.0,0.0,0.0,0.0
122,3.9,0.8695475548505783,0.95,0.0,0.05,0.0
123,4.0,0.8437175080180168,0.9,0.05,0.05,0.0
124,4.0,0.8132854834198951,1.0,0.0,0.0,0.0
125,3.9,0.8830488100647926,0.95,0.0,0.05,0.0
126,3.9,0.8280508130788803,0.95,0.0,0.05,0.0
127,4.0,0.7096140414476395,1.0,0.0,0.0,0.0
128,3.8,0.8607417076826096,0.95,0.05,0.0,0.050000000000000044
129,4.0,0.7927371203899384,1.0,0.0,0.0,0.0
130,3.9,0.8951102733612061,0.95,0.0,0.05,0.0
131,3.8,0.8610474929213524,0.95,0.05,0.0,0.050000000000000044
132,4.0,0.8985376387834549,1.0,0.0,0.0,0.0
133,3.9,0.8567630469799041,0.95,0.0,0.05,0.0
134,4.0,0.9023661941289902,1.0,0.0,0.0,0.0
135,4.0,0.8558301985263824,1.0,0.0,0.0,0.0
136,4.0,0.7642775073647499,1.0,0.0,0.0,0.0
137,3.8,0.7863768726587296,0.95,0.05,0.0,0.050000000000000044
138,3.8,0.7743729770183563,1.0,0.0,0.0,0.050000000000000044
139,4.0,0.8704454600811005,1.0,0.0,0.0,0.0
140,4.0,0.8617875903844834,1.0,0.0,0.0,0.0
141,3.9,0.8801906794309616,0.95,0.0,0.05,0.0
142,3.8,0.7749756664037705,1.0,0.0,0.0,0.050000000000000044
143,4.0,0.7567425057291984,1.0,0.0,0.0,0.0
144,4.0,0.833606418967247,1.0,0.0,0.0,0.0
145,3.9,0.807949212193489,0.95,0.0,0.05,0.0
146,4.0,0.7669517815113067,0.9,0.05,0.05,0.0
147,4.0,0.8712368816137314,1.0,0.0,0.0,0.0
148,3.9,0.8154331028461457,0.95,0.0,0.05,0.0
149,3.8,0.7542156592011452,0.95,0.05,0.0,0.050000000000000044
150,4.0,0.7951779589056969,1.0,0.0,0.0,0.0
151,4.0,0.8794428780674934,1.0,0.0,0.0,0.0
152,4.0,0.9070521295070648,1.0,0.0,0.0,0.0
153,4.0,0.7259593218564987,0.9,0.05,0.05,0.0
154,3.8,0.8063996955752373,0.85,0.1,0.05,0.050000000000000044
155,3.6,0.7899298906326294,0.9,0.1,0.0,0.09999999999999998
156,3.9,0.866178423166275,0.95,0.0,0.05,0.0
157,4.0,0.790473249554634,1.0,0.0,0.0,0.0
158,3.8,0.8397733405232429,0.9,0.0,0.1,0.0
159,4.0,0.798117271065712,1.0,0.0,0.0,0.0
160,4.0,0.8741633579134941,1.0,0.0,0.0,0.0
161,4.0,0.84361452460289,1.0,0.0,0.0,0.0
162,3.8,0.7958639800548554,0.95,0.05,0.0,0.050000000000000044
163,4.0,0.7341221138834954,1.0,0.0,0.0,0.0
164,4.0,0.837791146337986,1.0,0.0,0.0,0.0
165,3.8,0.8387833356857299,0.9,0.0,0.1,0.0
166,4.0,0.8441070303320884,1.0,0.0,0.0,0.0
167,3.9,0.8261831775307655,0.95,0.0,0.05,0.0
168,4.0,0.8166637524962426,1.0,0.0,0.0,0.0
169,3.9,0.7875687494874001,0.95,0.0,0.05,0.0
170,3.9,0.8487130254507065,0.95,0.0,0.05,0.0
171,4.0,0.8492521554231643,1.0,0.0,0.0,0.0
172,4.0,0.875146022439003,1.0,0.0,0.0,0.0
173,4.0,0.8387255504727363,1.0,0.0,0.0,0.0
174,3.7,0.7587211444973946,0.95,0.0,0.05,0.050000000000000044
175,4.0,0.8460165739059449,1.0,0.0,0.0,0.0
176,3.9,0.8069635957479477,0.95,0.0,0.05,0.0
177,4.0,0.7860625743865967,1.0,0.0,0.0,0.0
178,4.0,0.922379657626152,1.0,0.0,0.0,0.0
179,4.0,0.7937439829111099,1.0,0.0,0.0,0.0
180,3.7,0.7959807932376861,0.9,0.0,0.1,0.050000000000000044
181,4.0,0.8443571746349334,1.0,0.0,0.0,0.0
182,4.0,0.8005733221769333,1.0,0.0,0.0,0.0
183,4.0,0.854864090681076,1.0,0.0,0.0,0.0
184,4.0,0.9256975293159485,0.9,0.05,0.05,0.0
185,3.9,0.7928409188985824,0.95,0.0,0.05,0.0
186,3.8,0.893745556473732,0.9,0.0,0.1,0.0
187,3.8,0.7734278723597526,0.95,0.05,0.0,0.050000000000000044
188,3.8,0.799019992351532,1.0,0.0,0.0,0.050000000000000044
