episode,avg_throughput,avg_tx_power,mcs_usage_16qam,mcs_usage_64qam,mcs_usage_qpsk,per
1,2,0.518621863,0.35,0.15,0.5,0.25
2,2,0.46606091,0.45,0.35,0.2,0.4
3,2,0.589188033,0.25,0.3,0.45,0.3
4,2,0.515012901,0.35,0.2,0.45,0.3
5,2.2,0.596359459,0.25,0.15,0.6,0.15
6,2.3,0.59922794,0.3,0.15,0.55,0.15
7,2.9,0.659326741,0.4,0.25,0.35,0.15
8,1.8,0.586541456,0.2,0.3,0.5,0.3
9,2.7,0.557166524,0.4,0.05,0.55,0.05
10,2.6,0.64027983,0.4,0.25,0.35,0.2
11,2.1,0.542784192,0.35,0.2,0.45,0.25
12,2.7,0.526247045,0.4,0.25,0.35,0.2
13,2.2,0.657638741,0.4,0.3,0.3,0.3
14,2.4,0.549160236,0.45,0.25,0.3,0.25
15,3,0.545084576,0.5,0,0.5,0
16,2.8,0.623768121,0.45,0.25,0.3,0.2
17,3,0.65335117,0.55,0.2,0.25,0.15
18,2.6,0.624588676,0.45,0.1,0.45,0.15
19,3.3,0.642903727,0.6,0.1,0.3,0.05
20,4,0.721884918,0.65,0.25,0.1,0.05
21,3.5,0.675132243,0.8,0.05,0.15,0.05
22,3.6,0.648278721,0.8,0,0.2,0
23,3.1,0.529601867,0.6,0.15,0.25,0.15
24,3,0.531807722,0.75,0.05,0.2,0.15
25,3,0.601292017,0.55,0.2,0.25,0.15
26,3.1,0.574220747,0.65,0.1,0.25,0.1
27,3.6,0.611639012,0.9,0,0.1,0.05
28,3,0.584673771,0.6,0.1,0.3,0.1
29,3.5,0.751543778,0.75,0,0.25,0
30,3.2,0.667681493,0.85,0.05,0.1,0.15
31,2.7,0.625004722,0.5,0.15,0.35,0.15
32,3.5,0.670133986,0.75,0,0.25,0
33,3.2,0.71110065,0.6,0,0.4,0
34,3.6,0.75884205,0.85,0.05,0.1,0.05
35,3.4,0.71250895,0.6,0.05,0.35,0
36,3.4,0.700444932,0.75,0.05,0.2,0.05
37,3.5,0.750315456,0.75,0,0.25,0
38,3.6,0.731238142,0.8,0,0.2,0
39,3.3,0.763408782,0.75,0.1,0.15,0.1
40,3.3,0.8472183,0.65,0,0.35,0
41,3.7,0.835456923,0.85,0,0.15,0
