episode,avg_throughput,avg_tx_power,mcs_usage_16qam,mcs_usage_64qam,mcs_usage_qpsk,per
1,1.8,0.5486692816019059,0.35,0.15,0.5,0.30000000000000004
2,1.2,0.5037877351045609,0.45,0.35,0.2,0.6
3,1.4,0.6108540713787078,0.25,0.35,0.4,0.44999999999999996
4,2.0,0.5491168275475502,0.4,0.15,0.45,0.30000000000000004
5,1.9,0.5946419209241867,0.25,0.2,0.55,0.25
6,2.4,0.5891521602869034,0.35,0.15,0.5,0.15000000000000002
7,2.3,0.6376530587673187,0.4,0.25,0.35,0.25
8,1.9,0.55992701202631,0.3,0.35,0.35,0.35
9,2.2,0.5526158452033997,0.5,0.0,0.5,0.19999999999999996
10,1.6,0.6011789500713348,0.35,0.25,0.4,0.4
11,2.1,0.5212930023670197,0.4,0.25,0.35,0.30000000000000004
12,2.0,0.5492812037467957,0.45,0.15,0.4,0.30000000000000004
13,2.1,0.6480449259281158,0.45,0.3,0.25,0.35
14,2.5,0.5314215809106827,0.6,0.15,0.25,0.25
15,2.5,0.545559500157833,0.6,0.05,0.35,0.19999999999999996
16,1.8,0.5827244400978089,0.55,0.25,0.2,0.44999999999999996
17,2.5,0.6685355201363563,0.65,0.1,0.25,0.25
18,2.2,0.5676446467638016,0.35,0.1,0.55,0.19999999999999996
19,2.8,0.662704411149025,0.75,0.05,0.2,0.19999999999999996
20,2.4,0.6695623755455017,0.65,0.15,0.2,0.30000000000000004
21,2.8,0.6187497854232789,0.6,0.1,0.3,0.15000000000000002
22,3.4,0.6517266884446145,0.8,0.0,0.2,0.050000000000000044
23,2.5,0.5117867335677146,0.7,0.05,0.25,0.25
24,2.3,0.5101110205054283,0.6,0.05,0.35,0.25
25,2.6,0.5637176886200905,0.5,0.1,0.4,0.15000000000000002
26,2.3,0.5885881707072258,0.5,0.05,0.45,0.19999999999999996
27,2.7,0.5354923203587532,0.75,0.0,0.25,0.19999999999999996
28,2.6,0.5696753636002541,0.5,0.1,0.4,0.19999999999999996
