episode,avg_throughput,avg_tx_power,mcs_usage_16qam,mcs_usage_64qam,mcs_usage_qpsk,per
1,1.8,0.5391886174678803,0.4,0.1,0.5,0.30000000000000004
2,1.2,0.49368598908185957,0.45,0.35,0.2,0.6
3,1.2,0.6089200556278229,0.25,0.45,0.3,0.55
4,1.9,0.5244580671191216,0.35,0.15,0.5,0.30000000000000004
5,2.0,0.5837874189019203,0.25,0.15,0.6,0.19999999999999996
6,2.1,0.6004847809672356,0.3,0.15,0.55,0.19999999999999996
7,2.3,0.6353668883442879,0.4,0.25,0.35,0.25
8,1.5,0.5516792118549347,0.2,0.45,0.35,0.44999999999999996
9,1.4,0.5418575361371041,0.25,0.25,0.5,0.4
10,1.8,0.6025376737117767,0.25,0.25,0.5,0.30000000000000004
11,1.6,0.5188376531004906,0.3,0.35,0.35,0.44999999999999996
12,1.7,0.4951461285352707,0.3,0.25,0.45,0.35
13,1.9,0.6195566564798355,0.3,0.35,0.35,0.35
14,1.9,0.482280957698822,0.3,0.35,0.35,0.35
15,1.6,0.5106095090508461,0.25,0.25,0.5,0.35
16,1.6,0.5579667612910271,0.35,0.3,0.35,0.44999999999999996
17,2.2,0.6096758499741555,0.45,0.25,0.3,0.30000000000000004
18,1.7,0.5396678194403648,0.15,0.2,0.65,0.30000000000000004
19,2.2,0.592804853618145,0.55,0.15,0.3,0.30000000000000004
20,1.6,0.6468199729919434,0.5,0.4,0.1,0.55
21,1.9,0.5509270757436753,0.45,0.3,0.25,0.4
22,2.0,0.5724031433463097,0.5,0.2,0.3,0.35
23,1.7,0.4511299252510071,0.45,0.15,0.4,0.4
24,1.9,0.4852905094623566,0.45,0.2,0.35,0.35
25,1.9,0.5107190862298012,0.25,0.3,0.45,0.30000000000000004
26,2.0,0.49351590424776076,0.35,0.25,0.4,0.30000000000000004
27,1.5,0.4643090322613716,0.6,0.15,0.25,0.5
28,1.7,0.46882281452417374,0.5,0.1,0.4,0.4
29,1.9,0.6370122551918029,0.35,0.2,0.45,0.30000000000000004
