episode,avg_throughput,avg_tx_power,mcs_usage_16qam,mcs_usage_64qam,mcs_usage_qpsk,per
1,2.2,0.5781423658132553,0.45,0.05,0.5,0.19999999999999996
2,1.8,0.5286434784531593,0.5,0.3,0.2,0.44999999999999996
3,1.5,0.6307885229587555,0.25,0.3,0.45,0.4
4,2.0,0.5602560296654702,0.5,0.15,0.35,0.35
5,2.1,0.6435000181198121,0.3,0.15,0.55,0.19999999999999996
6,2.4,0.6744402498006821,0.45,0.15,0.4,0.19999999999999996
7,2.4,0.7026636838912964,0.45,0.25,0.3,0.25
8,2.1,0.6010483011603356,0.35,0.3,0.35,0.30000000000000004
9,2.1,0.6048354133963585,0.5,0.1,0.4,0.30000000000000004
10,2.0,0.6791124016046524,0.45,0.25,0.3,0.35
11,1.8,0.5665362998843193,0.4,0.25,0.35,0.4
12,2.2,0.5802212223410607,0.55,0.15,0.3,0.30000000000000004
13,2.5,0.6664890483021736,0.55,0.2,0.25,0.25
14,2.3,0.5333487644791604,0.4,0.25,0.35,0.25
15,2.5,0.5585356518626213,0.5,0.05,0.45,0.15000000000000002
16,2.2,0.6356033504009246,0.45,0.3,0.25,0.35
17,2.8,0.6563518449664116,0.6,0.1,0.3,0.15000000000000002
18,1.9,0.5995126187801361,0.4,0.25,0.35,0.35
19,2.5,0.6626263543963432,0.8,0.05,0.15,0.30000000000000004
20,1.7,0.6888159602880478,0.6,0.35,0.05,0.55
21,2.9,0.6449458479881287,0.6,0.15,0.25,0.15000000000000002
22,3.0,0.679155595600605,0.75,0.05,0.2,0.15000000000000002
23,1.7,0.5248695954680442,0.5,0.25,0.25,0.44999999999999996
24,2.4,0.5631069749593735,0.45,0.1,0.45,0.19999999999999996
25,2.5,0.5977752447128296,0.5,0.15,0.35,0.19999999999999996
26,2.4,0.568035489320755,0.55,0.15,0.3,0.25
27,2.9,0.5657132729887963,0.8,0.05,0.15,0.19999999999999996
28,2.4,0.5550491079688072,0.6,0.1,0.3,0.25
29,2.5,0.7110170736908913,0.6,0.15,0.25,0.25
30,2.8,0.6113609775900841,0.75,0.05,0.2,0.19999999999999996
31,3.1,0.6802882552146912,0.6,0.05,0.35,0.050000000000000044
32,2.6,0.5956021279096604,0.65,0.1,0.25,0.25
33,2.5,0.6380946725606919,0.5,0.15,0.35,0.19999999999999996
34,3.0,0.7362958490848541,0.75,0.15,0.1,0.19999999999999996
35,3.0,0.6792046025395393,0.6,0.1,0.3,0.09999999999999998
36,3.1,0.6603884562849999,0.75,0.1,0.15,0.15000000000000002
37,3.2,0.6684638261795044,0.7,0.0,0.3,0.050000000000000044
38,3.3,0.6675466582179069,0.85,0.0,0.15,0.09999999999999998
39,3.1,0.7145725697278976,0.7,0.05,0.25,0.09999999999999998
40,3.2,0.7828708112239837,0.85,0.05,0.1,0.15000000000000002
